,sample_noise,sample_parent,sample_weights,f,samples,common_cause_to_confounder_fraction,nodes,edges,dataset,graph_name
0,uniform,laplace,weight_sample,linear,2000,0.5,10,13,12d089aa-bdce-4353-b164-a5de6a41285c.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,linear,2000,0,10,13,1753de56-994c-4ca9-b279-89c419f34e3b.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,linear,10000,1,10,13,19edf3e1-3cc1-41bd-a215-c0f40c8be3ae.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,linear,10000,0.5,10,13,fe42893f-546c-42c9-a46c-d953d5d14af6.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,linear,10000,0,10,13,0687d3aa-fb38-4ef4-9b95-ae29b0a594de.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,sigmoid,100,1,10,13,23303029-135f-4598-bc03-349752177365.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,sigmoid,100,0.5,10,13,ec39139b-c8dd-4b83-8615-2a09dbbf6d4e.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,sigmoid,100,0,10,13,14b717a6-536f-4584-9679-83c88e9cfd59.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,sigmoid,2000,1,10,13,49c57804-9375-46e7-bd39-e71998148ec2.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,sigmoid,2000,0.5,10,13,34dfc190-1b1a-46cc-9463-19093cba7649.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,sigmoid,2000,0,10,13,d4377c57-aeba-454f-bae2-e6b2903a16e1.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,sigmoid,10000,1,10,13,e5a04f02-cc08-4461-a2fa-256c0d9e2723.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,sigmoid,10000,0.5,10,13,ab65d556-112a-4397-8cef-7234c636f508.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,sigmoid,10000,0,10,13,afee6e20-0e5f-4895-942c-4feb1ca90ac5.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,linear,100,1,10,13,51053b76-44f9-445b-aaf2-7381105d2bcc.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,linear,100,0.5,10,13,3352aaa0-754f-4d33-b670-6f5007fcd910.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,linear,100,0,10,13,6f13c03d-5ccd-47cd-9e6d-d815e35e4a73.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,linear,2000,1,10,13,e4697457-087c-4244-8d5e-da95d1873c13.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,linear,2000,0.5,10,13,95192043-0320-4f29-9c57-16ce8f4ea991.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,linear,2000,0,10,13,168dd8a6-9af1-487d-bc08-96bb6d86eb8e.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,linear,10000,1,10,13,1e1f4154-b410-49cb-9a5d-0fa423bbe065.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,linear,10000,0.5,10,13,ea53b368-2dbe-4d53-ab78-9a42a6886239.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,linear,10000,0,10,13,9f722315-6c59-4934-abc4-ad93834c5d48.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,sigmoid,100,1,10,13,bf50b8c2-41fd-4539-9fe8-93c7c0a8b2d2.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,sigmoid,100,0.5,10,13,37eadc07-3b78-425d-bdf8-4bc26304b7bf.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,sigmoid,100,0,10,13,e8521eea-7712-4080-8058-15296506cf2f.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,sigmoid,2000,1,10,13,1b551d43-b543-483c-94f7-308550bfcb08.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,sigmoid,2000,0.5,10,13,9f31a6d1-e13b-4726-ac9d-f7eded83fea4.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,sigmoid,2000,0,10,13,a0c7a59c-f000-4560-96e6-408fe57cccc9.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,sigmoid,10000,1,10,13,0ae57d95-e595-42c3-9183-4cf45f0d8758.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,sigmoid,10000,0.5,10,13,2c39cf1d-24be-46b9-8d9f-d26d511ba8eb.csv,graph_10_10.csv
0,gaussian,uniform,weight_sample,sigmoid,10000,0,10,13,62b401f1-2b11-4754-bb9a-e4370d2a3a9a.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,linear,100,1,10,13,e0a468c3-822a-4e33-93ea-15054774a4d5.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,linear,100,0.5,10,13,0596a921-2e99-41af-8fae-c44d2c9d156f.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,linear,100,0,10,13,6d41947b-72c1-4032-af28-691ce8e62911.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,linear,2000,1,10,13,5e1f36c9-c752-4ed6-935d-92e0e3a76ad2.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,linear,2000,0.5,10,13,217106a6-4872-4f4c-bdba-39389399ef81.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,linear,2000,0,10,13,80804087-2aaf-4a7a-99c4-d056aaf1b339.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,linear,10000,1,10,13,abc4c8a3-d0fc-4297-a9cd-a9c1406961e7.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,linear,10000,0.5,10,13,c7b5156d-05d9-444a-90a0-a559b2a2f205.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,linear,10000,0,10,13,01e965ab-edab-4e22-aa16-6b7b90533fb5.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,sigmoid,100,1,10,13,4df4a6d0-8a5c-4ae3-b584-244defe68498.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,sigmoid,100,0.5,10,13,73fa5e73-b37f-437c-ba2b-8dd1ef4d0ff2.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,sigmoid,100,0,10,13,f637eef1-4323-4471-b332-bad74972ce57.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,sigmoid,2000,1,10,13,4663ac45-1f6d-4d52-a783-8fc5e8a601d5.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,sigmoid,2000,0.5,10,13,376b721e-bafd-4fcb-a719-d0ece569bd32.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,sigmoid,2000,0,10,13,68c5d7f8-ae6f-43b1-8a36-8a9787a48405.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,sigmoid,10000,1,10,13,538391d9-48e6-46de-9834-0dd0edc60557.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,sigmoid,10000,0.5,10,13,2e50388e-61a6-4163-9d55-9de25ebb23c8.csv,graph_10_10.csv
0,gaussian,gaussian,weight_sample,sigmoid,10000,0,10,13,3493f684-61d3-4ee0-9553-f50ec13836ed.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,linear,100,1,10,13,72e78805-8f49-40a7-8355-e36e6c1be5aa.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,linear,100,0.5,10,13,e320c17b-dcff-45ec-b86c-53a9ed4b778a.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,linear,100,0,10,13,46cb5fb1-3af9-44eb-bdcd-7b4c498c8ed2.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,linear,2000,1,10,13,f6ee494b-53ae-4d03-8319-07d0ad0f93a2.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,linear,2000,0.5,10,13,0c84e1f9-1700-4f75-ad74-c6e703e3b0eb.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,linear,2000,0,10,13,7ad60327-21f5-430f-8d1e-25830be11097.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,linear,10000,1,10,13,65e81784-3c12-4d17-a97f-07d4dbaaacd2.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,linear,10000,0.5,10,13,ec66ddaf-42c1-4683-b7f0-9609d16fba63.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,linear,10000,0,10,13,27ff8fc0-7405-467c-a2dc-0bd51aa322b3.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,sigmoid,100,1,10,13,7abd5310-6642-4892-ace1-aa1d5875b8e1.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,sigmoid,100,0.5,10,13,fb338181-6345-424f-8f3a-d03c5c48029f.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,sigmoid,100,0,10,13,f659f4d7-36fa-474f-9946-a908ec056632.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,sigmoid,2000,1,10,13,8021fff1-4546-4aeb-9d84-fa61b7950749.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,sigmoid,2000,0.5,10,13,552d5f97-0a6f-4e52-902f-09c8ae555348.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,sigmoid,2000,0,10,13,918fa09a-aee4-4c14-9d57-343c86314e2f.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,sigmoid,10000,1,10,13,a2c02f9c-7a47-4f1b-99ff-0909d0042c92.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,sigmoid,10000,0.5,10,13,70fe75b1-670e-4b48-a136-55ed5324977c.csv,graph_10_10.csv
0,gaussian,laplace,weight_sample,sigmoid,10000,0,10,13,6cc82882-8c27-468b-92ee-180eba4d2ae2.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,linear,100,1,10,13,f0e239dc-8cea-4fc7-aab6-81cd933219c7.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,linear,100,0.5,10,13,510b6c6f-4d96-467b-8921-b55cf70091c0.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,linear,100,0,10,13,41ac5591-4501-4bb7-ab17-973832ce4785.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,linear,2000,1,10,13,96bdf47c-0850-40d8-b136-b69ebffe03d4.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,linear,2000,0.5,10,13,70ab9904-196d-4b73-bc25-806e041b6544.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,linear,2000,0,10,13,fdffeb1e-76a0-4a61-b53a-f2b74740e1cc.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,linear,10000,1,10,13,8a8d896e-e5bf-471a-9627-ed78f5032c54.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,linear,10000,0.5,10,13,be3c9557-354f-410b-8097-f754e0a772fc.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,linear,10000,0,10,13,5479fac6-dc71-4ce1-9d8f-d85e7a1bb234.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,sigmoid,100,1,10,13,a0ad6a11-bb7a-49a5-b081-97cb76f998bc.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,sigmoid,100,0.5,10,13,433dcbcb-b358-4c25-a0ec-b8c2c92cf3dc.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,sigmoid,100,0,10,13,3bbb0870-b11b-45e5-b14a-f6cd7b872f44.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,sigmoid,2000,1,10,13,68d0d19e-83df-42d6-bd72-c58131095665.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,sigmoid,2000,0.5,10,13,4fac7348-48ad-4f4c-a2b9-5d6e5e703534.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,sigmoid,2000,0,10,13,6d1a1bc5-839f-41d8-a7e2-48abc0c1f0d5.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,sigmoid,10000,1,10,13,4f64b749-4dc0-40ca-8ce0-907707dc6c80.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,sigmoid,10000,0.5,10,13,288dc142-76d9-47e0-ac89-66c8b6c37eaa.csv,graph_10_10.csv
0,laplace,uniform,weight_sample,sigmoid,10000,0,10,13,efb5aa58-be9d-48cf-b871-4fec99eb7770.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,linear,100,1,10,13,992de335-4ad7-45cd-8de5-3b37ec2adbb2.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,linear,100,0.5,10,13,7ed98d5a-0465-4dc3-83cd-f98c56290bf5.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,linear,100,0,10,13,81f23916-a437-4726-9e0a-1a92ca4819f7.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,linear,2000,1,10,13,9a49ac0e-721f-4a19-b3e8-a8775eb65cfa.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,linear,2000,0.5,10,13,514be7fc-9d4a-4429-afe5-d7904251e553.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,linear,2000,0,10,13,db47579a-6f44-4654-9d13-f6d2d92d3651.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,linear,10000,1,10,13,c8cde9e9-a88b-41b7-99ea-01b8f1b207bc.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,linear,10000,0.5,10,13,82b13eb2-1991-4d5c-945e-7ee13dc2ae67.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,linear,10000,0,10,13,508b3a39-573e-48a5-9cbe-e0cc2e92761d.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,sigmoid,100,1,10,13,850da8bb-a730-43ac-8508-6ca4e537acda.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,sigmoid,100,0.5,10,13,97aba545-f180-4bf9-ba09-561d9d7eb6a9.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,sigmoid,100,0,10,13,1dedb316-6278-45c5-a279-bf9b584e819e.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,sigmoid,2000,1,10,13,037ba5fb-28d0-421a-af4c-bd2ca08f37be.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,sigmoid,2000,0.5,10,13,08be3fda-306d-4e64-afa1-0894c3bed95f.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,sigmoid,2000,0,10,13,6a7f16cd-0b77-46a3-a945-3db58128613f.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,sigmoid,10000,1,10,13,9eef11cf-2409-4682-8054-783462e835e5.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,sigmoid,10000,0.5,10,13,2482a4bf-0ac4-4cae-89a5-42757d4a0343.csv,graph_10_10.csv
0,laplace,gaussian,weight_sample,sigmoid,10000,0,10,13,504ba980-6e0c-4388-b4d3-4e9c9b333a9d.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,linear,100,1,10,13,c76160d7-8c18-4219-9176-6a019eac40c5.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,linear,100,0.5,10,13,59e24a1e-34a2-4087-9bd6-8bc26cf47875.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,linear,100,0,10,13,71f163b8-2bd2-46a4-bf2c-eb9df5baad53.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,linear,2000,1,10,13,7630d09a-5fec-47ac-9651-4c9bd133896f.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,linear,2000,0.5,10,13,98f16048-d5cc-4082-8da9-001fa77b8bc2.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,linear,2000,0,10,13,8749421e-0d87-4637-9e15-1dabd48240a3.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,linear,10000,1,10,13,dcf8f7b7-1e3d-4b0d-badb-1ab1f666266f.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,linear,10000,0.5,10,13,fa398780-b6b0-4e75-b414-b4ccaca5bd74.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,linear,10000,0,10,13,bc36b0d3-7962-4e1d-baf8-dd435e291728.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,sigmoid,100,1,10,13,2e176f81-2e06-476f-93f8-e6d77cada13d.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,sigmoid,100,0.5,10,13,9f4f1a6b-a711-4071-9e7a-ed7a0b80c5cf.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,sigmoid,100,0,10,13,d2a6fcbb-405e-4f2b-b062-de6e9e6d0928.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,sigmoid,2000,1,10,13,6b670ad2-c4f5-45d8-a13a-df255ebb1f28.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,sigmoid,2000,0.5,10,13,82f68192-42be-4703-8190-f8bde6bfcc79.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,sigmoid,2000,0,10,13,32eb42d4-c739-4e53-8ea2-70f8c9bb19ac.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,sigmoid,10000,1,10,13,3cbf5ba9-5c80-460a-b98d-6eb964c3cb3c.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,sigmoid,10000,0.5,10,13,09363ca9-611d-4594-af72-b314fbe7fef0.csv,graph_10_10.csv
0,laplace,laplace,weight_sample,sigmoid,10000,0,10,13,e3b2449f-375d-40a7-9a36-1e140f299a50.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,linear,100,1,10,20,64c20bb7-b38a-4c6f-8334-3b188fceddfc.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,linear,100,0.5,10,20,77bb4137-9ff8-48fe-9de2-b45bc7ae8aaf.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,linear,100,0,10,20,41805c92-55fe-4405-b6fb-8807166ef585.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,linear,2000,1,10,20,89188771-9168-47e4-806b-9ee6f1db867d.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,linear,2000,0.5,10,20,3411a81f-dce6-4dfb-830e-1839f604b98e.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,linear,2000,0,10,20,6615bc0b-a890-470a-9f0d-98ffc70deefe.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,linear,10000,1,10,20,f0b9b7e9-bad6-4366-a9a0-1aa1d0f5464f.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,linear,10000,0.5,10,20,cbbe285c-0b3a-4909-9d34-9fcdefb51127.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,linear,10000,0,10,20,a530f5d9-3862-4da3-98be-e0d206b25f53.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,sigmoid,100,1,10,20,99a1e8f4-f209-45ac-a38b-1c8033c78e10.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,sigmoid,100,0.5,10,20,ea00cc20-66fc-4e1b-a2ab-7b2eca217e08.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,sigmoid,100,0,10,20,29da6ee5-f7c1-4abe-af6a-25480515e801.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,sigmoid,2000,1,10,20,ffcb1d99-72f1-4d8d-9b32-1779bdc15485.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,sigmoid,2000,0.5,10,20,69d3508d-75f6-458e-989e-e67018bca9d5.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,sigmoid,2000,0,10,20,7cfba84b-01c4-4774-a97f-339846c6562a.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,sigmoid,10000,1,10,20,e2875620-b257-4a5e-8fda-3d0291183c18.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,sigmoid,10000,0.5,10,20,66af43f9-f730-4968-8ba1-60d5b94a93a7.csv,graph_10_20.csv
0,uniform,uniform,weight_sample,sigmoid,10000,0,10,20,190e2325-aaca-4b56-90ac-8801d22b8259.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,linear,100,1,10,20,74ebbc4a-acf1-4cae-87e5-7f811104d630.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,linear,100,0.5,10,20,896294a9-99f8-41c8-b07e-619b06802ed9.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,linear,100,0,10,20,3db1fc92-4f66-4fa4-8e65-5f32cf1f7e96.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,linear,2000,1,10,20,62508ea6-89ee-43f8-8217-155329470b39.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,linear,2000,0.5,10,20,73f44646-ae47-4724-8334-7f2e8db2f508.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,linear,2000,0,10,20,d638b020-7575-4da0-8964-50a0bdbfa2ef.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,linear,10000,1,10,20,b088e4e0-7a8b-40a3-9dec-7e6ea1b6e475.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,linear,10000,0.5,10,20,541806ff-c783-4fcd-8b66-dab57e177679.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,linear,10000,0,10,20,39bbc3c2-8aa3-4104-9915-787a9705bb6b.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,sigmoid,100,1,10,20,80da0550-928b-4c78-a3b5-a8afb97768a4.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,sigmoid,100,0.5,10,20,f3225044-7d23-4918-b796-00fcc30deeb5.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,sigmoid,100,0,10,20,b00401e7-4389-453d-86dd-19711ec752be.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,sigmoid,2000,1,10,20,7a810b20-13a8-46a4-99a9-7e501f9dbb53.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,sigmoid,2000,0.5,10,20,6a8dedd7-93ea-42ed-8dce-f57f15f8ba71.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,sigmoid,2000,0,10,20,8380bf53-58b5-4c78-89ca-297010f7071f.csv,graph_10_20.csv
0,uniform,gaussian,weight_sample,sigmoid,10000,1,10,20,f6fe36ca-3c20-4186-b7ad-a4ffe7b08462.csv,graph_10_20.csv
